,dates,value
0,Wed Nov 21 2018 00:00:00,1344.15
1,Thu Nov 22 2018 00:00:00,1345.25
2,Mon Nov 26 2018 00:00:00,1348.95
3,Tue Nov 27 2018 00:00:00,1353.75
4,Wed Nov 28 2018 00:00:00,1398.35
5,Thu Nov 29 2018 00:00:00,1382.5
6,Fri Nov 30 2018 00:00:00,1405.85
7,Mon Dec 03 2018 00:00:00,1391.55
8,Tue Dec 04 2018 00:00:00,1381.8
9,Wed Dec 05 2018 00:00:00,1374.3
10,Thu Dec 06 2018 00:00:00,1378.2
11,Fri Dec 07 2018 00:00:00,1392.45
12,Mon Dec 10 2018 00:00:00,1397.0
13,Tue Dec 11 2018 00:00:00,1402.4
14,Wed Dec 12 2018 00:00:00,1433.45
15,Thu Dec 13 2018 00:00:00,1437.45
16,Fri Dec 14 2018 00:00:00,1431.35
17,Mon Dec 17 2018 00:00:00,1399.45
18,Tue Dec 18 2018 00:00:00,1335.9
19,Wed Dec 19 2018 00:00:00,1333.05
20,Thu Dec 20 2018 00:00:00,1316.0
21,Fri Dec 21 2018 00:00:00,1303.0
